cell_id,developmental_age,cell_type
SRR18126821,E16.5,sgn
SRR18126817,E16.5,sgn
SRR18126816,E16.5,sgn
SRR18126834,E16.5,sgn
SRR18126859,E14.5,sgn
SRR18126854,E14.5,sgn
SRR18126864,E14.5,sgn
SRR18126887,E14.5,sgn
SRR18126888,E14.5,sgn
SRR18126894,E14.5,sgn
SRR18126903,E14.5,sgn
SRR18126896,E14.5,sgn
SRR18126907,E14.5,sgn
SRR18126905,E14.5,sgn
SRR18126918,E14.5,sgn
SRR18126922,E14.5,sgn
SRR18126920,E14.5,sgn
SRR18126936,E14.5,sgn
SRR18126938,E14.5,sgn
SRR18126943,E14.5,sgn
SRR18126953,E14.5,sgn
SRR18126948,E14.5,sgn
SRR18126956,E14.5,sgn
SRR18126961,E14.5,sgn
SRR18126968,E14.5,sgn
SRR18126971,E14.5,sgn
SRR18126972,E14.5,sgn
SRR18126974,E14.5,sgn
SRR18126985,E14.5,sgn
SRR18126992,E14.5,sgn
SRR18127000,E14.5,sgn
SRR18126995,E14.5,sgn
SRR18126999,E14.5,sgn
SRR18127002,E14.5,sgn
SRR18127004,E14.5,sgn
SRR18127013,E14.5,sgn
SRR18127029,E14.5,sgn
SRR18127028,E14.5,sgn
SRR18127030,E14.5,sgn
SRR18127031,E14.5,sgn
SRR18127036,E14.5,sgn
SRR18127048,E15.5,sgn
SRR18127055,E15.5,sgn
SRR18127063,E15.5,sgn
SRR18127061,E15.5,sgn
SRR18127067,E15.5,sgn
SRR18127073,E15.5,sgn
SRR18127083,E15.5,sgn
SRR18127084,E15.5,sgn
SRR18127090,E15.5,sgn
SRR18127100,E15.5,sgn
SRR18127096,E15.5,sgn
SRR18127110,E15.5,sgn
SRR18127105,E15.5,sgn
SRR18127108,E15.5,sgn
SRR18127112,E15.5,sgn
SRR18127116,E15.5,sgn
SRR18127120,E15.5,sgn
SRR18127114,E15.5,sgn
SRR18127127,E15.5,sgn
SRR18127124,E15.5,sgn
SRR18127129,E15.5,sgn
SRR18127158,E15.5,sgn
SRR18127163,E15.5,sgn
SRR18127162,E15.5,sgn
SRR18127161,E15.5,sgn
SRR18127168,E15.5,sgn
SRR18127169,E15.5,sgn
SRR18127170,E15.5,sgn
SRR18127173,E15.5,sgn
SRR18127174,E15.5,sgn
SRR18127178,E15.5,sgn
SRR18127176,E15.5,sgn
SRR18127181,E15.5,sgn
SRR18127185,E15.5,sgn
SRR18127191,E15.5,sgn
SRR18127192,E15.5,sgn
SRR18127195,E15.5,sgn
SRR18127202,E15.5,sgn
SRR18127203,E15.5,sgn
SRR18127198,E15.5,sgn
SRR18127200,E15.5,sgn
SRR18127201,E15.5,sgn
SRR18127204,E15.5,sgn
SRR18127205,E15.5,sgn
SRR18127207,E15.5,sgn
SRR18127213,E15.5,sgn
SRR18127219,E15.5,sgn
SRR18127226,E15.5,sgn
SRR18127236,E15.5,sgn
SRR18127241,E15.5,sgn
SRR18127249,E15.5,sgn
SRR18127247,E15.5,sgn
SRR18127260,E16.5,sgn
SRR18127259,E16.5,sgn
SRR18127269,E16.5,sgn
SRR18127271,E16.5,sgn
SRR18127274,E16.5,sgn
SRR18127286,E16.5,sgn
SRR18127298,E16.5,sgn
SRR18127299,E16.5,sgn
SRR18127295,E16.5,sgn
SRR18127307,E16.5,sgn
SRR18127310,E16.5,sgn
SRR18127318,E16.5,sgn
SRR18127322,E16.5,sgn
SRR18127325,E16.5,sgn
SRR18127327,E16.5,sgn
SRR18127333,E16.5,sgn
SRR18127330,E16.5,sgn
SRR18127340,E16.5,sgn
SRR18127336,E16.5,sgn
SRR18127355,E16.5,sgn
SRR18127356,E16.5,sgn
SRR18127364,E14.5,sgn
SRR18127368,E14.5,sgn
SRR18127394,E14.5,sgn
SRR18127397,E14.5,sgn
SRR18127409,E14.5,sgn
SRR18127414,E14.5,sgn
SRR18127432,E14.5,sgn
SRR18127443,E14.5,sgn
SRR18127442,E14.5,sgn
SRR18127440,E14.5,sgn
SRR18127445,E14.5,sgn
SRR18127451,E14.5,sgn
SRR18127470,E14.5,sgn
SRR18127481,E17.5,sgn
SRR18127490,E17.5,sgn
SRR18127487,E17.5,sgn
SRR18127499,E17.5,sgn
SRR18127501,E17.5,sgn
SRR18127498,E17.5,sgn
SRR18127504,E17.5,sgn
SRR18127520,E17.5,sgn
SRR18127526,E17.5,sgn
SRR18127534,E17.5,sgn
SRR18127535,E17.5,sgn
SRR18127541,E17.5,sgn
SRR18127545,E17.5,sgn
SRR18127547,E17.5,sgn
SRR18127559,E17.5,sgn
SRR18127564,E17.5,sgn
SRR18127572,E17.5,sgn
SRR18127573,E17.5,sgn
SRR18127579,E17.5,sgn
SRR18127577,E17.5,sgn
SRR18127583,E17.5,sgn
SRR18127585,E17.5,sgn
SRR18127589,E17.5,sgn
SRR18127597,E17.5,sgn
SRR18127596,E17.5,sgn
SRR18127601,E17.5,sgn
SRR18127606,E17.5,sgn
SRR18127611,E17.5,sgn
SRR18127614,E17.5,sgn
SRR18127625,E17.5,sgn
SRR18127641,E17.5,sgn
SRR18127634,E17.5,sgn
SRR18127648,E17.5,sgn
SRR18127653,E17.5,sgn
SRR18127652,E17.5,sgn
SRR18127657,E17.5,sgn
SRR18127654,E17.5,sgn
SRR18127668,E17.5,sgn
SRR18127666,E17.5,sgn
SRR18127676,E17.5,sgn
SRR18127682,E17.5,sgn
SRR18127678,E17.5,sgn
SRR18127683,E17.5,sgn
SRR18127709,E16.5,sgn
SRR18127713,E16.5,sgn
SRR18127720,E16.5,sgn
SRR18127725,E16.5,sgn
SRR18127724,E16.5,sgn
SRR18127728,E16.5,sgn
SRR18127744,E16.5,sgn
SRR18127741,E16.5,sgn
SRR18127739,E16.5,sgn
SRR18127749,E16.5,sgn
SRR18127756,E16.5,sgn
SRR18127758,E16.5,sgn
SRR18127759,E16.5,sgn
SRR18127754,E16.5,sgn
SRR18127762,E16.5,sgn
SRR18127791,E14.5,sgn
SRR18127784,E14.5,sgn
SRR18127797,E14.5,sgn
SRR18127807,E14.5,sgn
SRR18127809,E14.5,sgn
SRR18127821,E14.5,sgn
SRR18127817,E14.5,sgn
SRR18127818,E14.5,sgn
SRR18127824,E14.5,sgn
SRR18127832,E14.5,sgn
SRR18127834,E14.5,sgn
SRR18127837,E14.5,sgn
SRR18127839,E14.5,sgn
SRR18127833,E14.5,sgn
SRR18127846,E14.5,sgn
SRR18127853,E14.5,sgn
SRR18127872,E14.5,sgn
SRR18127878,E14.5,sgn
SRR18127876,E14.5,sgn
SRR18127883,E14.5,sgn
SRR18127887,E14.5,sgn
SRR18127886,E14.5,sgn
SRR18127889,E14.5,sgn
SRR18127911,E14.5,sgn
SRR18127913,E14.5,sgn
SRR18127917,E14.5,sgn
SRR18127918,E14.5,sgn
SRR18127923,E14.5,sgn
SRR18127924,E14.5,sgn
SRR18127927,E14.5,sgn
SRR18127943,E14.5,sgn
SRR18127953,E14.5,sgn
SRR18127957,E14.5,sgn
SRR18127963,E14.5,sgn
SRR18127967,E14.5,sgn
SRR18127980,E14.5,sgn
SRR18127984,E14.5,sgn
SRR18127985,E14.5,sgn
SRR18127988,E14.5,sgn
SRR13523943,P3,sgn
SRR13523947,P3,sgn
SRR13523946,P3,sgn
SRR13523945,P3,sgn
SRR13523949,P3,sgn
SRR13523944,P3,sgn
SRR13523952,P3,sgn
SRR13523951,P3,sgn
SRR13523950,P3,sgn
SRR13523953,P3,sgn
SRR13523948,P3,sgn
SRR13523954,P3,sgn
SRR13523957,P3,sgn
SRR13523963,P3,sgn
SRR13523961,P3,sgn
SRR13523960,P3,sgn
SRR13523958,P3,sgn
SRR13523959,P3,sgn
SRR13523956,P3,sgn
SRR13523962,P3,sgn
SRR13523955,P3,sgn
SRR13523964,P3,sgn
SRR13523965,P3,sgn
SRR13523967,P3,sgn
SRR13523971,P3,sgn
SRR13523969,P3,sgn
SRR13523970,P3,sgn
SRR13523972,P3,sgn
SRR13523973,P3,sgn
SRR13523974,P3,sgn
SRR13523979,P3,sgn
SRR13523978,P3,sgn
SRR13523976,P3,sgn
SRR13523982,P3,sgn
SRR13523977,P3,sgn
SRR13523980,P3,sgn
SRR13523981,P3,sgn
SRR13523983,P3,sgn
SRR13523975,P3,sgn
SRR13523984,P3,sgn
SRR13523988,P3,sgn
SRR13523989,P3,sgn
SRR13523985,P3,sgn
SRR13523987,P3,sgn
SRR13523986,P3,sgn
SRR13523991,P3,sgn
SRR13523990,P3,sgn
SRR13523992,P3,sgn
SRR13523993,P3,sgn
SRR13523994,P3,sgn
SRR13523999,P3,sgn
SRR13524000,P3,sgn
SRR13523998,P3,sgn
SRR13524002,P3,sgn
SRR13524003,P3,sgn
SRR13523995,P3,sgn
SRR13524001,P3,sgn
SRR13523997,P3,sgn
SRR13524004,P3,sgn
SRR13524005,P3,sgn
SRR13524006,P3,sgn
SRR13524007,P3,sgn
SRR13524008,P3,sgn
SRR13524009,P3,sgn
SRR13524013,P3,sgn
SRR13524012,P3,sgn
SRR13524011,P3,sgn
SRR13524010,P3,sgn
SRR13524017,P3,sgn
SRR13524016,P3,sgn
SRR13524014,P3,sgn
SRR13524018,P3,sgn
SRR13524019,P3,sgn
SRR13524015,P3,sgn
SRR13524022,P3,sgn
SRR13524020,P3,sgn
SRR13524021,P3,sgn
SRR13524028,P3,sgn
SRR13524029,P3,sgn
SRR13524027,P3,sgn
SRR13524030,P3,sgn
SRR13524031,P3,sgn
SRR13524032,P3,sgn
SRR13524033,P3,sgn
SRR13524025,P3,sgn
SRR13524026,P3,sgn
SRR13524024,P3,sgn
SRR13524037,P3,sgn
SRR13524034,P3,sgn
SRR13524036,P3,sgn
SRR13524035,P3,sgn
SRR13524040,P3,sgn
SRR13524038,P3,sgn
SRR13524041,P3,sgn
SRR13524043,P3,sgn
SRR13524042,P3,sgn
SRR13524039,P3,sgn
SRR13524044,P3,sgn
SRR13524048,P3,sgn
